,Country,Highest_Peak_m
0,UK,1345.0
1,New Zealand,3724.0
2,Nepal,8848.86
3,Japan,3776.0
4,other,
5,Germany,2963.0
6,Czechoslovakia,1603.0
7,Yugoslavia,2169.0
8,South Korea,1950.0
9,Spain,3715.0
10,USA,6190.0
11,Austria,3798.0
12,Switzerland,4634.0
13,Italy,4810.0
14,Canada,5959.0
15,France,4810.0
16,Netherlands,322.0
17,Indonesia,4884.0
18,India,8586.0
19,Australia,2228.0
20,Ireland,1038.0
21,Poland,2499.0
22,Belgium,694.0
23,Bulgaria,2925.0
24,China,8848.86
25,Denmark,170.86
26,Brazil,3014.0
27,Chile,6893.0
28,Greece,2918.0
29,Iceland,2110.0
30,Luxembourg,560.0
31,Mexico,5636.0
32,Norway,2469.0
33,Argentina,6960.0
34,Sweden,2111.0
35,USSR,5642.0
36,Portugal,2386.0
37,Hong Kong,957.0
38,Taiwan,3952.0
39,Venezuela,5007.0
40,Ukraine,2061.0
41,Finland,1324.0
42,Liechtenstein,3404.0
43,Hungary,1014.0
44,Andorra,2942.0
45,Israel,2080.0
46,Colombia,5775.0
47,Kenya,5895.0
48,Romania,2544.0
49,South Africa,3482.0
50,Kazakhstan,7502.0
51,Slovenia,2864.0
52,Croatia,1831.0
53,N Korea,2744.0
54,Latvia,312.0
55,Lithuania,294.0
56,Peru,6768.0
57,Russia,5642.0
58,Georgia,5201.0
59,Belarus,345.0
60,Bolivia,6542.0
61,Czech Republic,1603.0
62,Turkey,5137.0
63,Macedonia,2747.0
64,Slovakia,2655.0
65,Malaysia,4095.0
66,Mongolia,4374.0
67,Thailand,2565.0
68,Singapore,164.0
69,Estonia,318.0
70,Ecuador,6268.0
71,Iran,5610.0
72,Bosnia-Herzegovina,2386.0
73,Pakistan,8611.0
74,Uzbekistan,4643.0
75,Guatemala,4220.0
76,Azerbaijan,4466.0
77,Armenia,4090.0
78,San Marino,739.0
79,Serbia,2651.0
80,Kuwait,306.0
81,Bhutan,7571.0
82,Lebanon,3088.0
83,Kyrgyz Republic,7439.0
84,Cyprus,1952.0
85,Jordan,1854.0
86,Panama,3475.0
87,Philippines,2954.0
88,Bahrain,134.0
89,Egypt,2611.0
90,Bangladesh,1280.0
91,Algeria,3003.0
92,Oman,3020.0
93,Saudi Arabia,3220.0
94,Costa Rica,3820.0
95,Vietnam,3143.0
96,Uruguay,514.0
97,Montenegro,2534.0
98,Moldova,430.0
99,Malta,253.0
100,Dominican Republic,3098.0
101,Palestine,1834.0
102,Mauritius,828.0
103,Sri Lanka,2524.0
104,UAE,1934.0
105,Albania,2697.0
106,Tanzania,5895.0
107,Qatar,103.0
108,Morocco,4167.0
109,Tunisia,1544.0
110,Myanmar,5881.0
111,Kosovo,2651.0
112,Paraguay,842.0
113,Syria,2814.0
114,Botswana,1494.0
115,Iraq,3611.0
116,Tajikistan,7439.0
117,Cuba,1974.0
118,El Salvador,2730.0
119,Libya,2263.0
120,Honduras,2870.0
121,Afghanistan,7492.0
122,Dominica,1447.0
