,peakid,nb_members,death_rate,success_rate,pkname,heightm
0,ACHN,106,0.0,0.08490566037735849,Aichyn,6055
1,AMAD,73434,0.00031320641664624014,0.05395320968488711,Ama Dablam,6814
2,AMOT,26,0.0,0.038461538461538464,Amotsang,6393
3,AMPG,13,0.0,0.15384615384615385,Amphu Gyabjen,5630
4,AMPH,25,0.0,0.12,Amphu I,6740
5,ANID,34,0.0,0.0,Anidesh Chuli,6808
6,ANN1,9367,0.004270310665100886,0.02775701932315576,Annapurna I,8091
7,ANN2,135,0.0,0.007407407407407408,Annapurna II,7937
8,ANN3,135,0.0,0.044444444444444446,Annapurna III,7555
9,ANN4,1737,0.0005757052389176742,0.007484168105929764,Annapurna IV,7525
10,ANNE,22,0.0,0.36363636363636365,Annapurna I East,8026
11,ANNM,14,0.0,0.21428571428571427,Annapurna I Middle,8051
12,ANNS,114,0.0,0.02631578947368421,Annapurna South,7219
13,APIM,116,0.0,0.06896551724137931,Api Main,7132
15,ARNK,136,0.0,0.15441176470588236,Arniko Chuli,6034
16,BAMO,24,0.0,0.08333333333333333,Bamongo,6400
17,BARU,9473,0.0003166895386889053,0.031880080228016465,Baruntse,7152
18,BEDG,49,0.0,0.08163265306122448,Beding Go,6125
19,BHEM,17,0.0,0.0,Bhemdang Ri,6150
20,BHRI,174,0.0,0.040229885057471264,Bhrikuti,6476
21,BHRS,466,0.0,0.08798283261802575,Bhrikuti Shail,6361
22,BIJO,49,0.0,0.0,Bijora Hiunchuli,6111
24,BURK,56,0.0,0.017857142857142856,Burke Kang,6942
25,CBAM,72,0.0,0.027777777777777776,Chhopa Bamare,6109
27,CHAK,149,0.006711409395973154,0.040268456375838924,Chako,6704
28,CHAM,185,0.010810810810810811,0.03783783783783784,Chamlang,7321
29,CHAN,25,0.0,0.16,Changla,6563
30,CHAW,25,0.0,0.0,Chaw Peak,6404
31,CHIV,25,0.0,0.16,Chhiv Himal,6650
32,CHND,79,0.0,0.012658227848101266,Chandi Himal,6142
33,CHOB,30,0.0,0.23333333333333334,Chobuje,6686
34,CHOP,14,0.0,0.2857142857142857,Cho Polu,6700
